VariableCode,RegionCode,YearCode,AggValue
rgdpe,HKG,1960,12400.25683593750000000
rgdpe,HKG,1961,13144.16796875000000000
rgdpe,HKG,1962,15078.31835937500000000
rgdpe,HKG,1963,17700.59570312500000000
rgdpe,HKG,1964,19316.48632812500000000
rgdpe,HKG,1965,22580.80273437500000000
rgdpe,HKG,1966,23591.57226562500000000
rgdpe,HKG,1967,24924.13671875000000000
rgdpe,HKG,1968,26582.01757812500000000
rgdpe,HKG,1969,29710.48828125000000000
rgdpe,HKG,1970,32450.50000000000000000
rgdpe,HKG,1971,35722.82031250000000000
rgdpe,HKG,1972,40092.94140625000000000
rgdpe,HKG,1973,44542.13671875000000000
rgdpe,HKG,1974,43631.95703125000000000
rgdpe,HKG,1975,45671.79296875000000000
rgdpe,HKG,1976,53639.96484375000000000
rgdpe,HKG,1977,59712.89453125000000000
rgdpe,HKG,1978,65062.21093750000000000
rgdpe,HKG,1979,72365.24218750000000000
rgdpe,HKG,1980,80521.46875000000000000
rgdpe,HKG,1981,84807.90625000000000000
rgdpe,HKG,1982,88098.53906250000000000
rgdpe,HKG,1983,91738.66406250000000000
rgdpe,HKG,1984,101668.42968750000000000
rgdpe,HKG,1985,105501.57812500000000000
rgdpe,HKG,1986,113176.95312500000000000
rgdpe,HKG,1987,127796.78125000000000000
rgdpe,HKG,1988,137654.23437500000000000
rgdpe,HKG,1989,144857.57812500000000000
rgdpe,HKG,1990,151044.28125000000000000
rgdpe,HKG,1991,162433.71875000000000000
rgdpe,HKG,1992,176014.75000000000000000
rgdpe,HKG,1993,190503.87500000000000000
rgdpe,HKG,1994,202584.34375000000000000
rgdpe,HKG,1995,207365.01562500000000000
rgdpe,HKG,1996,225147.62500000000000000
rgdpe,HKG,1997,242452.29687500000000000
rgdpe,HKG,1998,234048.35937500000000000
rgdpe,HKG,1999,236627.35937500000000000
rgdpe,HKG,2000,256729.14062500000000000
rgdpe,HKG,2001,262283.03125000000000000
rgdpe,HKG,2002,274455.53125000000000000
rgdpe,HKG,2003,281808.50000000000000000
rgdpe,HKG,2004,299426.00000000000000000
rgdpe,HKG,2005,323018.90625000000000000
rgdpe,HKG,2006,336582.68750000000000000
rgdpe,HKG,2007,359094.09375000000000000
rgdpe,HKG,2008,360956.09375000000000000
rgdpe,HKG,2009,352771.31250000000000000
rgdpe,HKG,2010,369489.93750000000000000
rgdpe,HKG,2011,384560.78125000000000000
rgdpe,HKG,2012,396892.93750000000000000
