VariableCode,RegionCode,YearCode,AggValue
ctfp,HKG,1960,0.73704367876052900
ctfp,HKG,1961,0.73704367876052900
ctfp,HKG,1962,0.73704367876052900
ctfp,HKG,1963,0.73704367876052900
ctfp,HKG,1964,0.73704367876052900
ctfp,HKG,1965,0.76993030309677100
ctfp,HKG,1966,0.76474654674530000
ctfp,HKG,1967,0.76506847143173200
ctfp,HKG,1968,0.77071988582611100
ctfp,HKG,1969,0.82375466823577900
ctfp,HKG,1970,0.87049460411071800
ctfp,HKG,1971,0.88380527496337900
ctfp,HKG,1972,0.91064506769180300
ctfp,HKG,1973,0.96136021614074700
ctfp,HKG,1974,0.96909928321838400
ctfp,HKG,1975,0.94340032339096100
ctfp,HKG,1976,1.00713849067688000
ctfp,HKG,1977,1.04001259803772000
ctfp,HKG,1978,1.06235289573669000
ctfp,HKG,1979,1.10301542282104000
ctfp,HKG,1980,1.08507394790649000
ctfp,HKG,1981,1.04419028759003000
ctfp,HKG,1982,1.04346764087677000
ctfp,HKG,1983,1.04185879230499000
ctfp,HKG,1984,1.05385601520538000
ctfp,HKG,1985,0.96761143207550000
ctfp,HKG,1986,0.98331034183502200
ctfp,HKG,1987,1.05026566982269000
ctfp,HKG,1988,1.00378751754761000
ctfp,HKG,1989,1.03606367111206000
ctfp,HKG,1990,1.06646180152893000
ctfp,HKG,1991,1.09029722213745000
ctfp,HKG,1992,1.05601501464844000
ctfp,HKG,1993,1.06076478958130000
ctfp,HKG,1994,1.07918751239777000
ctfp,HKG,1995,1.01582121849060000
ctfp,HKG,1996,0.95333045721054100
ctfp,HKG,1997,0.96555787324905400
ctfp,HKG,1998,0.93498617410659800
ctfp,HKG,1999,0.90744012594223000
ctfp,HKG,2000,0.95588672161102300
ctfp,HKG,2001,0.97973608970642100
ctfp,HKG,2002,1.00201439857483000
ctfp,HKG,2003,0.98395842313766500
ctfp,HKG,2004,1.04676997661591000
ctfp,HKG,2005,0.96609234809875500
ctfp,HKG,2006,0.93760895729064900
ctfp,HKG,2007,0.94971823692321800
ctfp,HKG,2008,0.82357919216156000
ctfp,HKG,2009,0.79041242599487300
ctfp,HKG,2010,0.78519469499588000
ctfp,HKG,2011,0.75360566377639800
ctfp,HKG,2012,0.76213580369949300
ctfp,HKG,2013,0.82505500316619900
ctfp,HKG,2014,0.71298378705978400
ctfp,HKG,2015,0.68481683731079100
ctfp,HKG,2016,0.71766889095306400
ctfp,HKG,2017,0.66776627302169800
ctfp,HKG,2018,0.72323065996170000
ctfp,HKG,2019,0.72924339771270800
ccon,HKG,1960,10645.60351562500000000
ccon,HKG,1961,11643.17089843750000000
ccon,HKG,1962,12909.90527343750000000
ccon,HKG,1963,14067.54882812500000000
ccon,HKG,1964,15224.45996093750000000
ccon,HKG,1965,17126.33789062500000000
ccon,HKG,1966,19178.83398437500000000
